192.826	2.99723	1.71743	0.43551	0.02807	0.65406	0.33901	0.00499	0.00194	0.04862	0.01631	6.90241	6.71597	0.07631	0.78396	1.41366	15.66026	0.00112	0.00555	3.95842	0.03491	0.07984	0.02015	6.98757	6.99283
235.079	2.95951	1.71345	0.33768	0.03607	0.64412	0.34325	0.00879	0.00385	0.07532	0.01473	5.57748	5.47367	0.15645	0.71267	1.41399	14.78828	0.00246	0.00767	3.89056	0.09931	0.33076	0.02019	9.79061	9.82742
103.967	1.71352	1.63454	1.10251	0.08693	0.65900	0.31197	0.01990	0.00912	0.07565	0.01445	13.00859	12.70294	0.07867	0.68941	1.92739	16.45104	0.01415	0.04120	11.79680	0.14786	0.25532	0.04005	20.48702	21.36374
102.722	1.68809	1.62439	1.06397	0.10962	0.65004	0.30487	0.02593	0.01916	0.08017	0.01518	13.09681	12.85210	0.14055	0.64568	3.17261	16.87201	0.02870	0.07688	11.57590	0.31852	0.59780	0.04735	32.88593	34.35516
227.185	2.37774	1.68493	0.47998	0.02800	0.64600	0.34672	0.00559	0.00170	0.04239	0.01589	5.78044	5.62234	0.04275	0.73891	1.19132	15.87934	0.00329	0.00847	7.93179	0.05646	0.06826	0.02143	5.85270	5.97983
177.133	2.34337	1.67541	0.51654	0.05116	0.64513	0.34058	0.00946	0.00483	0.05307	0.01808	7.47943	7.30837	0.09967	0.68707	1.62436	14.92719	0.00829	0.02078	7.90413	0.06682	0.15684	0.02773	13.12218	13.44337
227.185	3.00914	1.70990	0.38169	0.02600	0.64795	0.34618	0.00395	0.00192	0.04501	0.01693	5.77636	5.62803	0.06515	0.79456	1.40865	15.73007	0.00088	0.00447	3.96045	0.03420	0.07309	0.01766	5.84769	5.86052
227.185	1.74635	1.64188	0.65637	0.03159	0.64405	0.34726	0.00723	0.00147	0.03978	0.01486	5.78452	5.61665	0.03154	0.68144	0.92961	16.05902	0.00570	0.01247	11.90310	0.07871	0.06342	0.02519	5.85771	6.09915
177.133	2.95679	1.69986	0.40378	0.05037	0.64697	0.33998	0.00765	0.00540	0.06214	0.01943	7.44436	7.31430	0.16958	0.68748	1.69839	13.83185	0.00262	0.01537	3.92096	0.06106	0.16797	0.02538	11.70492	11.76996
177.133	1.72996	1.63362	0.71708	0.05256	0.64329	0.34118	0.01126	0.00427	0.04401	0.01672	7.51450	7.30244	0.06471	0.68654	1.52723	16.36450	0.01396	0.02618	11.88730	0.07259	0.14572	0.03008	14.53953	15.11688
